geneID,Cond WT Rep 1,Cond WT Rep 2,Cond WT Rep 3,Cond Mt Rep 1,Cond Mt Rep 2,Cond Mt Rep 3
Solyc00g039990.2.1,16,10,18,55,52,34
Solyc00g040290.1.1,0,0,0,0,0,0
Solyc00g040390.1.1,0,0,0,0,0,0
Solyc00g040490.1.1,0,0,0,0,1,0
Solyc00g041090.1.1,0,0,0,0,0,0
Solyc00g041190.1.1,0,0,0,0,0,0
Solyc00g041200.1.1,0,0,0,0,0,0
Solyc00g041210.1.1,0,0,0,0,0,0
Solyc00g041220.1.1,0,0,0,0,0,0
Solyc00g042120.1.1,0,0,0,0,0,0
Solyc00g042130.1.1,0,0,0,0,0,0
Solyc00g042140.1.1,0,0,0,0,0,0
Solyc00g042640.1.1,2,0,1,0,1,2
Solyc00g042840.1.1,5,32,13,111,110,69
Solyc00g042850.1.1,0,0,0,2,11,6
Solyc00g044350.2.1,11,26,13,61,33,33
Solyc00g044550.1.1,0,0,0,0,0,0
Solyc00g044750.1.1,1,1,1,0,2,1
Solyc00g045570.1.1,2,0,0,0,2,0
Solyc00g046570.1.1,0,0,0,0,0,0
Solyc00g046580.1.1,0,0,0,0,0,0
Solyc00g046980.1.1,0,0,0,0,0,0
Solyc00g047180.1.1,0,0,0,0,0,0
Solyc00g047190.1.1,0,0,0,0,0,0
Solyc00g047200.1.1,4,0,3,2,3,0
Solyc00g047700.2.1,666,484,292,1002,909,657
Solyc00g047810.1.1,3,0,0,3,0,0
Solyc00g048410.1.1,0,0,0,0,0,0
Solyc00g048510.2.1,0,0,0,0,0,0
Solyc00g049210.1.1,4,4,2,2,9,6
Solyc00g049220.1.1,0,0,0,0,0,0
Solyc00g049520.2.1,140,197,174,132,126,118
Solyc00g049620.1.1,0,0,0,0,0,0
Solyc00g049920.1.1,0,0,0,0,0,0
Solyc00g050020.1.1,0,0,0,0,0,0
Solyc00g050030.1.1,0,0,0,0,0,0
Solyc00g050130.1.1,178,125,160,277,234,183
Solyc00g050430.2.1,73,59,40,219,296,174
Solyc00g052430.2.1,0,4,4,3,6,2
Solyc00g052530.2.1,0,0,0,0,0,0
Solyc00g052540.1.1,0,0,0,0,0,0
Solyc00g052940.2.1,155,166,81,109,95,61
Solyc00g053440.2.1,116,85,59,104,152,97
Solyc00g053740.1.1,0,0,0,0,0,0
Solyc00g055940.1.1,0,0,0,0,0,0
Solyc00g055950.1.1,0,0,0,0,0,0
Solyc00g055960.1.1,0,0,0,0,0,0
Solyc00g055970.1.1,0,0,0,0,0,0
Solyc00g055980.1.1,0,0,0,0,0,0
Solyc00g056180.1.1,0,0,0,0,0,0
Solyc00g056680.1.1,15,20,13,58,58,37
Solyc00g057280.1.1,0,0,0,1,0,0
Solyc00g057880.2.1,1,8,8,3,2,4
Solyc00g058280.1.1,0,0,0,0,0,0
Solyc00g058480.1.1,0,0,0,0,0,0
Solyc00g058490.1.1,0,0,0,11,11,6
Solyc00g058890.1.1,9,26,13,26,33,28
Solyc00g058900.1.1,2,0,1,740,864,564
Solyc00g059100.2.1,75,132,163,129,189,82
Solyc00g059500.1.1,29,20,11,38,22,17
Solyc00g060700.1.1,0,0,0,0,0,0
Solyc00g060710.1.1,0,0,0,0,0,0
Solyc00g060810.2.1,0,0,0,0,0,0
Solyc00g062710.1.1,0,0,0,0,0,0
Solyc00g063110.2.1,0,0,0,0,0,0
Solyc00g063510.1.1,0,0,0,0,0,0
Solyc00g065510.1.1,0,0,0,0,0,0
Solyc00g065610.1.1,0,0,0,0,0,0
Solyc00g065620.1.1,0,0,0,0,0,0
Solyc00g065630.1.1,0,0,0,0,0,0
Solyc00g065930.1.1,0,0,0,0,0,0
Solyc00g065940.1.1,0,0,0,0,0,0
Solyc00g066140.1.1,0,0,0,0,0,0
Solyc00g066150.1.1,0,0,0,0,0,0
Solyc00g066350.1.1,2,3,1,3,1,2
Solyc00g066360.1.1,6,2,6,1,2,2
Solyc00g066370.1.1,0,0,0,0,0,0
Solyc00g067470.1.1,0,0,0,0,3,2
Solyc00g068970.2.1,757,1955,3551,764,1186,973
Solyc00g068980.1.1,1,0,1,0,0,1
Solyc00g069680.1.1,0,0,0,0,0,0
Solyc00g069880.2.1,0,0,0,0,1,0
Solyc00g070680.1.1,0,0,0,0,0,0
Solyc00g071180.2.1,6039,4028,2665,159,131,130
Solyc00g071580.1.1,0,0,0,0,0,0
Solyc00g071590.1.1,0,0,0,0,0,0
Solyc00g071600.1.1,0,0,0,0,0,0
Solyc00g072100.2.1,212,207,158,441,516,354
Solyc00g072400.2.1,1,1,0,0,4,0
Solyc00g072800.2.1,0,0,0,1,1,0
Solyc00g073200.1.1,0,0,1,5,2,1
Solyc00g073900.1.1,0,0,0,0,0,0
Solyc00g073910.1.1,0,0,0,0,0,0
Solyc00g074210.1.1,0,0,0,0,0,0
